Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0001	lauxlib	luaL_where	0x1404CDD20	sub_1404CDD20	Score-based Matching
0002	lauxlib	luaL_error	0x1404CDDB0	sub_1404CDDB0	Single called (xref) option
0003	lauxlib	luaL_newmetatable	0x1404CDE10	sub_1404CDE10	Single called (xref) option
0004	lauxlib	luaL_checkstack	0x1404CDE90	sub_1404CDE90	Single called (xref) option
0005	lauxlib	luaL_getmetafield	0x1404CDED0	sub_1404CDED0	Single called (xref) option
0006	lauxlib	luaL_callmeta	0x1404CDF50	sub_1404CDF50	Single called (xref) option
0007	lauxlib	libsize	N/A	N/A	ifdeffed out / inlined
0008	lauxlib	luaL_findtable	0x1404CDFD0	sub_1404CDFD0	Single called (xref) option
0009	lauxlib	emptybuffer	N/A	N/A	ifdeffed out / inlined
0010	lauxlib	adjuststack	0x1404CE100	sub_1404CE100	Neighbour matching
0011	lauxlib	luaL_prepbuffer	0x1404CE1B0	sub_1404CE1B0	Single called (xref) option
0012	lauxlib	luaL_addlstring	0x1404CE210	sub_1404CE210	Single called (xref) option
0013	lauxlib	luaL_addstring	N/A	N/A	ifdeffed out / inlined
0014	lauxlib	luaL_pushresult	0x1404CE2B0	sub_1404CE2B0	Score-based Matching
0015	lauxlib	luaL_addvalue	0x1404CE300	sub_1404CE300	Single called (xref) option
0016	lauxlib	luaL_buffinit	0x1404CE3C0	sub_1404CE3C0	Single called (xref) option
0017	lauxlib	luaL_ref	0x1404CE3E0	sub_1404CE3E0	Neighbour matching
0018	lauxlib	luaL_unref	0x1404CE4B0	sub_1404CE4B0	Neighbour matching
0019	lauxlib	getF	0x1404CE530	sub_1404CE530	Single called (xref) option
0020	lauxlib	errfile	0x1404CE5C0	sub_1404CE5C0	Neighbour matching
0021	lauxlib	luaL_loadfile	0x1404CE660	sub_1404CE660	Anchor - Complex unique string / const
0022	lauxlib	getS	0x1404CE840	sub_1404CE840	Neighbour matching
0023	lauxlib	luaL_loadbuffer	0x1404CE860	sub_1404CE860	Single called (xref) option
0024	lauxlib	luaL_loadstring	0x1404CE890	sub_1404CE890	Neighbour matching
0025	lauxlib	luaL_argerror	0x1404CE8E0	sub_1404CE8E0	Anchor - Complex unique string / const
0026	lauxlib	luaL_typerror	0x1404CE9F0	sub_1404CE9F0	Neighbour matching
0027	lauxlib	tag_error	N/A	N/A	ifdeffed out / inlined
0028	lauxlib	luaL_checkudata	0x1404CEA60	sub_1404CEA60	Single called (xref) option
0029	lauxlib	luaL_checktype	0x1404CEB20	sub_1404CEB20	Single called (xref) option
0030	lauxlib	luaL_checkany	0x1404CEB60	sub_1404CEB60	Single called (xref) option
0031	lauxlib	luaL_checklstring	0x1404CEBA0	sub_1404CEBA0	Single called (xref) option
0032	lauxlib	luaL_optlstring	0x1404CEC30	sub_1404CEC30	Single called (xref) option
0033	lauxlib	luaL_checknumber	0x1404CECB0	sub_1404CECB0	Single called (xref) option
0034	lauxlib	luaL_optnumber	0x1404CED10	sub_1404CED10	Neighbour matching
0035	lauxlib	luaL_checkinteger	0x1404CED80	sub_1404CED80	Single called (xref) option
0036	lauxlib	luaL_checkboolean	0x1404CEDD0	sub_1404CEDD0	Score-based Matching
0037	lauxlib	luaL_optboolean	0x1404CEE50	sub_1404CEE50	Neighbour matching
0038	lauxlib	luaL_optinteger	0x1404CEEA0	sub_1404CEEA0	Neighbour matching
0039	lauxlib	luaL_openlib	0x1404CEF10	sub_1404CEF10	Agent - File-unique string / const
0040	lauxlib	luaL_gsub	0x1404CF090	sub_1404CF090	Neighbour matching
0041	lauxlib	luaL_checkoption	0x1404CF4F0	sub_1404CF4F0	Score-based Matching
0042	lauxlib	luaL_register	0x1404CF5B0	sub_1404CF5B0	Single called (xref) option
0043	lbaselib	luaB_print	0x1404DEA90	sub_1404DEA90	Agent - File-unique string / const
0044	lbaselib	luaB_tonumber	0x1404DEB90	sub_1404DEB90	Neighbour matching
0045	lbaselib	luaB_error	0x1404DECC0	sub_1404DECC0	Neighbour matching
0046	lbaselib	luaB_getmetatable	0x1404DED40	sub_1404DED40	Neighbour matching
0047	lbaselib	luaB_setmetatable	0x1404DEDA0	sub_1404DEDA0	Agent - File-unique string / const
0048	lbaselib	getfunc	0x1404DEE40	sub_1404DEE40	Agent - File-unique string / const
0049	lbaselib	luaB_getfenv	0x1404DEF30	sub_1404DEF30	Neighbour matching
0050	lbaselib	luaB_setfenv	0x1404DEF80	sub_1404DEF80	Agent - File-unique string / const
0051	lbaselib	luaB_rawequal	0x1404DF040	sub_1404DF040	Neighbour matching
0052	lbaselib	luaB_rawget	0x1404DF090	sub_1404DF090	Neighbour matching
0053	lbaselib	luaB_rawset	0x1404DF0E0	sub_1404DF0E0	Single caller (xref) option
0054	lbaselib	luaB_gcinfo	0x1404DF140	sub_1404DF140	Single caller (xref) option
0055	lbaselib	luaB_collectgarbage	0x1404DF170	sub_1404DF170	Single caller (xref) option
0056	lbaselib	luaB_type	0x1404DF240	sub_1404DF240	Neighbour matching
0057	lbaselib	luaB_next	0x1404DF280	sub_1404DF280	Score-based Matching
0058	lbaselib	luaB_pairs	0x1404DF2E0	sub_1404DF2E0	Score-based Matching
0059	lbaselib	ipairsaux	0x1404DF330	sub_1404DF330	Score-based Matching
0060	lbaselib	luaB_ipairs	0x1404DF3A0	sub_1404DF3A0	Single called (xref) option
0061	lbaselib	load_aux	N/A	N/A	ifdeffed out / inlined
0062	lbaselib	luaB_loadstring	0x1404DF3F0	sub_1404DF3F0	Neighbour matching
0063	lbaselib	luaB_loadfile	0x1404DF470	sub_1404DF470	Neighbour matching
0064	lbaselib	generic_reader	0x1404DF4D0	sub_1404DF4D0	Agent - File-unique string / const
0065	lbaselib	luaB_load	0x1404DF580	sub_1404DF580	Neighbour matching
0066	lbaselib	luaB_dofile	0x1404DF610	sub_1404DF610	Score-based Matching
0067	lbaselib	luaB_assert	0x1404DF680	sub_1404DF680	Neighbour matching
0068	lbaselib	luaB_unpack	0x1404DF6E0	sub_1404DF6E0	Agent - File-unique string / const
0069	lbaselib	luaB_select	0x1404DF7D0	sub_1404DF7D0	Neighbour matching
0070	lbaselib	luaB_pcall	0x1404DF880	sub_1404DF880	Neighbour matching
0071	lbaselib	luaB_xpcall	0x1404DF8E0	sub_1404DF8E0	Neighbour matching
0072	lbaselib	luaB_tostring	0x1404DF950	sub_1404DF950	Agent - File-unique string / const
0073	lbaselib	luaB_newproxy	0x1404DFA90	sub_1404DFA90	Agent - File-unique string / const
0074	lbaselib	costatus	0x1404DFB90	sub_1404DFB90	Neighbour matching
0075	lbaselib	luaB_costatus	0x1404DFC30	sub_1404DFC30	Neighbour matching
0076	lbaselib	auxresume	0x1404DFCA0	sub_1404DFCA0	Anchor - Complex unique string / const
0077	lbaselib	luaB_coresume	0x1404DFDA0	sub_1404DFDA0	Neighbour matching
0078	lbaselib	luaB_auxwrap	0x1404DFE40	sub_1404DFE40	Neighbour matching
0079	lbaselib	luaB_cocreate	0x1404DFED0	sub_1404DFED0	Agent - File-unique string / const
0080	lbaselib	luaB_cowrap	0x1404DFF50	sub_1404DFF50	Neighbour matching
0081	lbaselib	luaB_yield	0x1404DFF80	sub_1404DFF80	Score-based Matching
0082	lbaselib	luaB_corunning	0x1404DFFA0	sub_1404DFFA0	Neighbour matching
0083	lbaselib	auxopen	N/A	N/A	ifdeffed out / inlined
0084	lbaselib	base_open	0x1404DFFD0	sub_1404DFFD0	Agent - File-unique string / const
0085	lbaselib	luaopen_base	0x1404E0130	sub_1404E0130	Neighbour matching
0086	ldblib	db_getregistry	0x1404D93C0	sub_1404D93C0	Neighbour matching
0087	ldblib	db_getmetatable	0x1404D93E0	sub_1404D93E0	Neighbour matching
0088	ldblib	db_setmetatable	0x1404D9420	sub_1404D9420	Agent - File-unique string / const
0089	ldblib	db_getfenv	0x1404D9480	sub_1404D9480	Neighbour matching
0090	ldblib	db_setfenv	0x1404D94A0	sub_1404D94A0	Agent - File-unique string / const
0091	ldblib	settabss	N/A	N/A	ifdeffed out / inlined
0092	ldblib	settabsi	N/A	N/A	ifdeffed out / inlined
0093	ldblib	getthread	N/A	N/A	ifdeffed out / inlined
0094	ldblib	treatstackoption	N/A	N/A	ifdeffed out / inlined
0095	ldblib	db_getinfo	0x1404D94F0	sub_1404D94F0	Anchor - Complex unique string / const
0096	ldblib	db_getlocal	0x1404D9890	sub_1404D9890	Neighbour matching
0097	ldblib	db_setlocal	0x1404D99A0	sub_1404D99A0	Score-based Matching
0098	ldblib	auxupvalue	0x1404D9AA0	sub_1404D9AA0	Neighbour matching
0099	ldblib	db_getupvalue	N/A	N/A	ifdeffed out / inlined
0100	ldblib	db_setupvalue	0x1404D9B30	sub_1404D9B30	Score-based Matching
0101	ldblib	hookf	0x1404D9BD0	sub_1404D9BD0	Single called (xref) option
0102	ldblib	makemask	N/A	N/A	ifdeffed out / inlined
0103	ldblib	unmakemask	N/A	N/A	ifdeffed out / inlined
0104	ldblib	gethooktable	0x1404D9C70	sub_1404D9C70	Score-based Matching
0105	ldblib	db_sethook	0x1404D9CF0	sub_1404D9CF0	Neighbour matching
0106	ldblib	db_gethook	0x1404D9E50	sub_1404D9E50	Neighbour matching
0107	ldblib	db_debug	0x1404D9F80	sub_1404D9F80	Agent - File-unique string / const
0108	ldblib	db_errorfb	0x1404DA100	sub_1404DA100	Anchor - Complex unique string / const
0109	ldblib	luaopen_debug	0x1404DA3D0	sub_1404DA3D0	Neighbour matching
0110	ldump	DumpBlock	N/A	N/A	ifdeffed out / inlined
0111	ldump	DumpChar	N/A	N/A	ifdeffed out / inlined
0112	ldump	DumpInt	N/A	N/A	ifdeffed out / inlined
0113	ldump	DumpNumber	N/A	N/A	ifdeffed out / inlined
0114	ldump	DumpVector	N/A	N/A	ifdeffed out / inlined
0115	ldump	DumpString	N/A	N/A	ifdeffed out / inlined
0116	ldump	DumpConstants	0x1404D8590	sub_1404D8590	Locked and ordered neighbouring functions
0117	ldump	DumpDebug	0x1404D8620	sub_1404D8620	Locked and ordered neighbouring functions
0118	ldump	DumpFunction	0x1404D8790	sub_1404D8790	Locked and ordered neighbouring functions
0119	ldump	DumpHeader	0x1404D8A00	sub_1404D8A00	Locked and ordered neighbouring functions
0120	ldump	luaU_dump	0x1404D8B90	sub_1404D8B90	Single called (xref) option
0121	lfunc	luaF_newCclosure	0x1404D7E60	sub_1404D7E60	Neighbour matching
0122	lfunc	luaF_newLclosure	0x1404D7ED0	sub_1404D7ED0	Score-based Matching
0123	lfunc	luaF_newupval	0x1404D7F60	sub_1404D7F60	Neighbour matching
0124	lfunc	luaF_findupval	0x1404D7FB0	sub_1404D7FB0	Single called (xref) option
0125	lfunc	unlinkupval	N/A	N/A	ifdeffed out / inlined
0126	lfunc	luaF_freeupval	0x1404D8080	sub_1404D8080	Neighbour matching
0127	lfunc	luaF_close	0x1404D80B0	sub_1404D80B0	Single called (xref) option
0128	lfunc	luaF_newproto	0x1404D81A0	sub_1404D81A0	Single called (xref) option
0129	lfunc	luaF_freeproto	0x1404D8230	sub_1404D8230	Neighbour matching
0130	lfunc	luaF_freeclosure	0x1404D82F0	sub_1404D82F0	Neighbour matching
0131	lfunc	luaF_getlocalname	0x1404D8320	sub_1404D8320	Single called (xref) option
0132	linit	luaL_openlibs	0x1404D2430	sub_1404D2430	Single caller (xref) option
0133	liolib	pushresult	N/A	N/A	ifdeffed out / inlined
0134	liolib	fileerror	0x1404E0160	sub_1404E0160	Score-based Matching
0135	liolib	io_type	0x1404E01D0	sub_1404E01D0	Neighbour matching
0136	liolib	tofile	0x1404E02A0	sub_1404E02A0	Single called (xref) option
0137	liolib	newfile	0x1404E0300	sub_1404E0300	Score-based Matching
0138	liolib	io_noclose	N/A	N/A	ifdeffed out / inlined
0139	liolib	io_pclose	0x1404E0350	sub_1404E0350	Neighbour matching
0140	liolib	io_fclose	0x1404E0410	sub_1404E0410	Neighbour matching
0141	liolib	aux_close	0x1404E04C0	sub_1404E04C0	Score-based Matching
0142	liolib	io_close	0x1404E0500	sub_1404E0500	Score-based Matching
0143	liolib	io_gc	0x1404E0590	sub_1404E0590	Neighbour matching
0144	liolib	io_tostring	0x1404E0600	sub_1404E0600	Agent - File-unique string / const
0145	liolib	io_open	N/A	N/A	ifdeffed out / inlined
0146	liolib	io_popen	0x1404E0660	sub_1404E0660	Last (referenced) function in file
0147	liolib	io_tmpfile	0x1404E08A0	sub_1404E08A0	Score-based Matching
0148	liolib	getiofile	0x1404E1160	sub_1404E1160	Score-based Matching
0149	liolib	g_iofile	0x1404E0950	sub_1404E0950	Score-based Matching
0150	liolib	io_input	0x1404E0A20	sub_1404E0A20	Neighbour matching
0151	liolib	io_output	0x1404E0A40	sub_1404E0A40	Single caller (xref) option
0152	liolib	read_number	N/A	N/A	ifdeffed out / inlined
0153	liolib	test_eof	N/A	N/A	ifdeffed out / inlined
0154	liolib	read_line	0x1404E0A60	sub_1404E0A60	Single called (xref) option
0155	liolib	read_chars	0x1404E0B70	sub_1404E0B70	Neighbour matching
0156	liolib	g_read	0x1404E0C30	sub_1404E0C30	Agent - File-unique string / const
0157	liolib	io_read	0x1404E0E30	sub_1404E0E30	Neighbour matching
0158	liolib	f_read	0x1404E0EA0	sub_1404E0EA0	Neighbour matching
0159	liolib	io_readline	0x1404E0F00	sub_1404E0F00	Agent - File-unique string / const
0160	liolib	g_write	0x1404E1000	sub_1404E1000	Neighbour matching
0161	liolib	io_write	N/A	N/A	ifdeffed out / inlined
0162	liolib	f_write	0x1404E11D0	sub_1404E11D0	Score-based Matching
0163	liolib	f_seek	0x1404E1230	sub_1404E1230	Score-based Matching
0164	liolib	f_setvbuf	0x1404E1330	sub_1404E1330	Score-based Matching
0165	liolib	io_flush	0x1404E1420	sub_1404E1420	Score-based Matching
0166	liolib	f_flush	0x1404E14F0	sub_1404E14F0	Score-based Matching
0167	liolib	createmeta	N/A	N/A	ifdeffed out / inlined
0168	liolib	createstdfile	N/A	N/A	ifdeffed out / inlined
0169	liolib	newfenv	N/A	N/A	ifdeffed out / inlined
0170	liolib	luaopen_io	0x1404E15B0	sub_1404E15B0	Agent - File-unique string / const
0171	liolib	aux_lines	N/A	N/A	ifdeffed out / inlined
0172	liolib	f_lines	0x1404E1820	sub_1404E1820	Single called (xref) option
0173	liolib	io_lines	0x1404E1890	sub_1404E1890	Score-based Matching
0174	llex	save	0x1404E1990	sub_1404E1990	Agent - File-unique string / const
0175	llex	luaX_init	0x1404E1A40	sub_1404E1A40	Neighbour matching
0176	llex	luaX_token2str	0x1404E1AB0	sub_1404E1AB0	Single called (xref) option
0177	llex	txtToken	0x1404E1B20	sub_1404E1B20	Single called (xref) option
0178	llex	luaX_lexerror	0x1404E1BC0	sub_1404E1BC0	Single called (xref) option
0179	llex	luaX_syntaxerror	0x1404E1C70	sub_1404E1C70	Single called (xref) option
0180	llex	luaX_newstring	0x1404E1C80	sub_1404E1C80	Neighbour matching
0181	llex	inclinenumber	0x1404E1CE0	sub_1404E1CE0	Anchor - Complex unique string / const
0182	llex	luaX_setinput	0x1404E1D90	sub_1404E1D90	Neighbour matching
0183	llex	check_next	N/A	N/A	ifdeffed out / inlined
0184	llex	buffreplace	N/A	N/A	ifdeffed out / inlined
0185	llex	trydecpoint	0x1404E1E30	sub_1404E1E30	Last (referenced) function in file
0186	llex	read_numeral	0x1404E1EF0	sub_1404E1EF0	Single called (xref) option
0187	llex	skip_sep	0x1404E2060	sub_1404E2060	Neighbour matching
0188	llex	read_long_string	0x1404E2120	sub_1404E2120	Anchor - Complex unique string / const
0189	llex	read_string	0x1404E23C0	sub_1404E23C0	Agent - File-unique string / const
0190	llex	llex	0x1404E28D0	sub_1404E28D0	Agent - File-unique string / const
0191	llex	luaX_next	0x1404E30E0	sub_1404E30E0	Neighbour matching
0192	llex	luaX_lookahead	0x1404E3130	sub_1404E3130	Neighbour matching
0193	lmathlib	math_abs	0x1404DA400	sub_1404DA400	Neighbour matching
0194	lmathlib	math_sin	0x1404DA440	sub_1404DA440	Neighbour matching
0195	lmathlib	math_sinh	0x1404DA470	sub_1404DA470	Neighbour matching
0196	lmathlib	math_cos	0x1404DA4A0	sub_1404DA4A0	Neighbour matching
0197	lmathlib	math_cosh	0x1404DA4D0	sub_1404DA4D0	Neighbour matching
0198	lmathlib	math_tan	0x1404DA500	sub_1404DA500	Neighbour matching
0199	lmathlib	math_tanh	0x1404DA530	sub_1404DA530	Neighbour matching
0200	lmathlib	math_asin	0x1404DA560	sub_1404DA560	Neighbour matching
0201	lmathlib	math_acos	0x1404DA590	sub_1404DA590	Neighbour matching
0202	lmathlib	math_atan	0x1404DA5C0	sub_1404DA5C0	Neighbour matching
0203	lmathlib	math_atan2	0x1404DA5F0	sub_1404DA5F0	Neighbour matching
0204	lmathlib	math_ceil	0x1404DA650	sub_1404DA650	Neighbour matching
0205	lmathlib	math_floor	0x1404DA680	sub_1404DA680	Neighbour matching
0206	lmathlib	math_fmod	0x1404DA6B0	sub_1404DA6B0	Neighbour matching
0207	lmathlib	math_modf	0x1404DA710	sub_1404DA710	Score-based Matching
